"login","password","PersonLogin","PersonPassword","PersonName","PersonSurname","holdingName","ComityName","CompanyName","role","roleId","currentPersonId","currentUserId","CompanyId","ComityId","holdingId","isValid","personId","AddedAdminToComity","userId","AddedDirToComity","AddedUser","AddedLogPass","AddedUserToComity","idMeeteng","idIssue"
"admin_7","admin123","user_nums_3_227","password_227","Ivan_227","Petrovich_227","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","1d21c0e0-eb5a-4139-81f5-c2c74debe8ea","7deedaa6-e1ed-46b1-970e-d43d54e6f3d9","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","032f8aa5-4263-4839-8207-765c47c6c6a3","Y","45d24afb-cf31-4116-b075-36efcf760bed","N","Y","Y","Y","",""
"admin_8","admin123","user_nums_3_228","password_228","Ivan_228","Petrovich_228","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","3b6e4ddd-9e06-4672-a02f-0946b9edc600","360c710f-0236-4fe8-8e3d-ee1889b4e60c","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","b69c6036-9acf-47cd-ad0f-07fce974fb66","Y","3a862cbd-6300-4074-9097-02d5dcc75b65","N","Y","Y","Y","",""
"admin_9","admin123","user_nums_3_229","password_229","Ivan_229","Petrovich_229","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","3e6cff93-1700-4156-970a-dbdb062eacff","b3d78b28-527f-4f6a-b65e-5f58566d1e81","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","555687dd-6b9f-43eb-9cbb-0a509cde9dc2","Y","00a45552-7470-45b0-92db-80b0dc4537a0","N","Y","Y","Y","",""
"admin_10","admin123","user_nums_3_230","password_230","Ivan_230","Petrovich_230","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","4b890848-4d8b-4093-a18b-e13b6fa0c043","48f5daeb-7dc7-4750-b96a-babe2c882f72","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","7d399a77-0b49-4ce8-aba0-1f62ba9200ec","Y","8c68aa1a-8909-4f0e-a286-207969aea0df","N","Y","Y","Y","",""
"admin_1","admin123","user_nums_3_232","password_232","Ivan_232","Petrovich_232","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","50cb1c70-2cea-44fa-b412-9ebd81031654","f84ad0da-b942-4c2f-989a-55e8c7186313","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","efa5254b-ddc2-4624-b6f4-86e9506aa956","Y","2eaf3a48-010c-4bc5-87c3-143066e0953a","N","Y","Y","Y","",""
"admin","admin123","user_nums_3_231","password_231","Ivan_231","Petrovich_231","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","16346104-e6e5-4bef-8522-f835b7ae895c","b1115cfb-c31c-420f-a118-e39e507a994f","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","14dc93a9-492e-4d40-b65e-6e5b11bb8908","Y","7a31f01e-a696-421e-977e-d5ad9b602775","N","Y","Y","Y","",""
"admin_2","admin123","user_nums_3_233","password_233","Ivan_233","Petrovich_233","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","1c46600d-6834-4d9f-998b-ba18d7561b7a","b44e78ac-07b2-47fc-a2f7-f605bd0423b6","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","LOH","Y","36c6c190-fe7f-49d8-a178-2312f43738b0","N","Y","Y","Y","",""
"admin_3","admin123","user_nums_3_234","password_234","Ivan_234","Petrovich_234","NT_Holding_8","comity_8_UC01_16","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","30b13b70-9414-48d3-84d1-2e456eeb9a44","3c1a6e5c-4006-450f-aa4d-e422a96986cf","1190b805-2b1a-40f4-aefb-2bb4305aaa83","8121b0d4-0b3e-456b-b4a5-86baa919a938","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","d9c2e030-c8db-4ebf-a179-5e0764b558d5","Y","b7253394-6c6c-4e75-a38c-9311d55c9105","N","Y","Y","Y","",""
"admin_5","admin123","user_nums_3_918","password_918","Ivan_918","Petrovich_918","NT_Holding_8","comity_8_UC01_62","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","d49deec7-1a64-4d55-9deb-685724d56e32","3c9ddfd7-8b9d-4700-9d08-bfb2ea3ac19b","1190b805-2b1a-40f4-aefb-2bb4305aaa83","97a4194f-a18a-4290-8537-b33838ad4384","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","a5f3f1e0-cd08-4717-b537-7275d1709c02","Y","5962beff-bfc1-4738-b1b2-cccd4cbf1239","N","Y","Y","Y","",""
"admin_6","admin123","user_nums_3_919","password_919","Ivan_919","Petrovich_919","NT_Holding_8","comity_8_UC01_62","company_8_UC01","Секретарь","87c52dfd-3e5b-45fb-9798-2b9449285379","9eab595c-b7d8-449e-a72e-9a75e927f2fa","b17c1f59-6acf-4028-b6c2-569c5b8049e6","1190b805-2b1a-40f4-aefb-2bb4305aaa83","97a4194f-a18a-4290-8537-b33838ad4384","c744e0e7-7e61-4e71-ab8d-997d34a9126b","Y","8733b605-c4bc-4e01-9f1f-491f2dfabd52","Y","6b7bfacd-6d5f-4a0b-838a-ad30c20d62a3","N","Y","Y","Y","",""
